symbol,entry_date,exit_date,entry_price,exit_price,contracts,strike,expiry_date,entry_iv,hold_iv,pnl,reason,scenario,family,cost
AAPU,2024-12-30 09:30:00,2025-03-24 09:30:00,1.0375763670827371,0.0,4,38.13,2025-03-24 09:30:00,0.33098203213527483,0.33098203213527483,-415.03054683309483,EXPIRY,risk_current_mature_tp800,AAPL,415.03054683309483
AMZU,2024-12-30 09:30:00,2025-03-24 09:30:00,2.8666677399793876,0.0,1,43.7,2025-03-24 09:30:00,0.5633117347260524,0.5633117347260524,-286.6667739979388,EXPIRY,risk_current_mature_tp800,AMZN,286.6667739979388
METU,2024-12-30 09:30:00,2025-03-24 09:30:00,2.6550196962462422,0.0,1,35.86,2025-03-24 09:30:00,0.6124988708493057,0.6124988708493057,-265.5019696246242,EXPIRY,risk_current_mature_tp800,META,265.5019696246242
NFXL,2024-12-30 09:30:00,2025-03-24 09:30:00,1.9368476089509379,0.0,2,38.64,2025-03-24 09:30:00,0.4718361797951114,0.4718361797951114,-387.3695217901876,EXPIRY,risk_current_mature_tp800,NFLX,387.3695217901876
PLTU,2024-12-30 09:30:00,2025-02-11 09:30:00,2.7313625984706285,24.582263386235656,1,25.66,2025-03-24 09:30:00,0.8,0.8,2185.0900787765027,TARGET,risk_current_mature_tp800,PLTR,273.13625984706283
AAPU,2025-01-06 09:30:00,2025-03-31 09:30:00,1.272576110585863,0.0,3,35.92,2025-03-31 09:30:00,0.3826902180841184,0.3826902180841184,-381.77283317575893,EXPIRY,risk_current_mature_tp800,AAPL,381.77283317575893
METU,2025-01-06 09:30:00,2025-03-31 09:30:00,3.0636559191188883,0.0,1,40.58,2025-03-31 09:30:00,0.6208112846758447,0.6208112846758447,-306.3655919118888,EXPIRY,risk_current_mature_tp800,META,306.3655919118888
AAPU,2025-01-13 09:30:00,2025-04-07 09:30:00,1.303210384089601,0.0,3,32.78,2025-04-07 09:30:00,0.409068672141916,0.409068672141916,-390.9631152268803,EXPIRY,risk_current_mature_tp800,AAPL,390.9631152268803
GGLL,2025-01-13 09:30:00,2025-04-07 09:30:00,2.814283991565558,0.0,1,47.77,2025-04-07 09:30:00,0.5238313702341659,0.5238313702341659,-281.4283991565558,EXPIRY,risk_current_mature_tp800,GOOGL,281.4283991565558
METU,2025-01-13 09:30:00,2025-04-07 09:30:00,2.6555498993681095,0.0,1,37.66,2025-04-07 09:30:00,0.5922080856150951,0.5922080856150951,-265.55498993681095,EXPIRY,risk_current_mature_tp800,META,265.55498993681095
