fold,train_start,train_end_purged,test_start,test_end,embargo_days,strike_otm_pct,dte_days,tp_pct,train_profit,train_profit_on_premium_pct,test_profit,test_premium,test_profit_on_premium_pct,test_trades,test_win_rate_pct
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,12.5,56,300.0,-158209.68330155415,-18.959721384857257,-31915.273094642656,215840.97268496704,-14.7864757546404,445,23.146067415730336
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,12.5,56,500.0,-163909.9088740155,-19.689760824195762,-54479.3262599758,215840.97268496704,-25.240493304990647,445,16.853932584269664
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,12.5,56,700.0,-184779.13955464427,-22.196687730014386,-49521.93707908961,215840.97268496704,-22.943714746583296,445,15.955056179775282
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,12.5,84,300.0,251.62900809691746,0.02583655453176258,-54917.661201793264,206823.92360270687,-26.552857254214913,433,19.630484988452658
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,12.5,84,500.0,5415.361990955564,0.5560340457037782,-57737.406993193275,206823.92360270687,-27.916212973554487,433,15.473441108545035
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,12.5,84,700.0,13588.967569501438,1.3952767381436022,-67377.67692350075,206823.92360270687,-32.577312986735606,433,13.394919168591224
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,12.5,112,300.0,178474.84302759427,16.40412362145474,-68846.86203853408,208351.18035104073,-33.04366307046466,445,21.34831460674157
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,12.5,112,500.0,254613.41922395115,23.402233803815186,-93449.03511476876,208351.18035104073,-44.85169460394755,445,17.303370786516854
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,12.5,112,700.0,293267.7276970043,26.955059759212,-101410.3201461442,208351.18035104073,-48.672784082760124,445,16.629213483146067
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,7.5,56,300.0,9361.09259111252,0.8164510854576537,95109.31021326888,233601.63626825347,40.71431678845405,521,42.994241842610364
